# Base de solutions et couts Yamaha
# Format : conclusion|Nom|Description|Solution|Cout
#
# PANNES DE DEMARRAGE
diag_ecu_mapping_ou_tps|Cartographie pauvre (Euro) ou TPS|Deceleration brutale (fuel cut_off pur = 0g essence) creant un a-coup de folie ou faisant caler a l'enfoncement.|Faire flasher l'ECU par Woolich (Desactiver AIS/Fuel Cut-off), ou mettre a jour logicielle via concession YDT.|300

# RADIATEUR / CHAUFFE
diag_fuite_liquide_refroidissement|Fuite LDR Evidente / Durite craquee|Fuite externe (collier mal serre) = aspiration d'air par le bouchon = surchauffe malgre ventilateurs.|Reparer la fuite, changer colliers perfores. Surtout FAIRE LA PURGE DU CIRCUIT SOIGNEUSEMENT par l'event vis.|50
diag_pompe_a_eau_ou_calorstat_bloque|Calorstat soude a froid ou Turbine HS|Le liquide bout dans un meme lieu clos sans jamais faire un cycle vers le radiateur aluminium.|Remplacer le Thermostat (calorstat), inspecter si les pales pompes ne sont pas dissoutes par du LDR bon marche.|250
diag_fusible_ventilo|Fusible Fan/Radiator mort|Le ventilateur 12V ne recoit pas l'energie requise a cause d'un court-jus passe dans l'helicoide|Trouver la boite secondaire (sous ecope droite ex), verifier 15A fus. FAN, check si caillou bloque les pales.|30
diag_relais_ou_sonde_temperature|Sonde CTS HS ou Relais OMRON|Le calculateur ne regle jamais ventilo car il "voit" la meme zone thermique tout le temps. Diag code E6 (Yamaha).|Brancher outil ODB/YDT pour valider la sonde temperature culasse. Si t_eau fausse, changée.|150

# PARTIE CYCLE ET FREINS
diag_disques_voiles_ou_plaquettes_glacees|Disques de frein voiles (deformation termique)|Vous avez freine en panique sur les freins tiedes dans une tres mare d'eau = choc thermique extreme.|Levez l'avant, repoussez plaquettes, faire tourner a la main : le disque frotte par a-coups (faux rond). A changer par paire!!|450
diag_plaquettes_usees_metal|Plaquettes mortes : acier sur acier|Les materiaux de friction ont entierement disparus (ferrodo off). Vous attaquez sauvagemment le materiau du couteux disque!|Arret immediat de la machine. Regarder visuellement derriere l'etrier l'epaisseur metal. Pack de rechanges EBC/Brembo + disques!|150+
diag_purge_frein_necessaire|Circuit de frein hydraulique rempli d'air|De l'air s'est infiltre dans les boyaux ou liquide de frein trop tres epuisé devenu de la merde pateuse aqueuse (Fading).|Une excellente purge "traditionelle" via les ecrous de purge + du DOT 4 MOTUL RBF 600 ultra vif.|75
diag_plaquettes_tres_usees|Plaquettes usees a l'extreme|Les cylindres piston on dut extrement se deployer de leur bocal etrier pour appuyer un mini reste, d'ou le volume tres bas maitre cyindre.|Renvoyer gentiment les pistons internes a l'etrier au repoussoir pour degouler, les etriquer propres et metre des new tampons.|100
diag_joints_etrier_hs|Joints d'etrier assecs / durites coupees|Le Dot-4, puissant decapant est sortie. Vous perdez la vie sur un axe en plastique et etes au deces imminent.|Immobilisation ferme. Kit reparation pour etrier Yamaha avec nouveaux anneautins de caoutchouc etanches. Remontage scrupuleux.|180

# TENUE DE ROUTE ET BRUITS CHASSIS 
diag_equilibrage_roue_ou_suspension|Equilibrage Plombs partis / Pneu Carre|Vous avez perdu des languettes de plomb au changement de pneu ou la carcasse de chez Michelin est dechiree (plat d'autoroute arriere).|Aller faire re-equilibrer l'avant et la jante arriere chez un marchand en controlant la dynamique d'une gomme neuve.|300
diag_pression_pneus_defaut|Les pneus se meurent completement au flanc|Rouler en pression basse detruit le corps fibre des flan en detruisant tout feeling en virage rapide, lourdeur morbide du guidon.|Outils de station total le plus urgent pour requinquer (AV~2.4, AR~2.9), verifiez absence d'un clou viciole (bain bouillotte)|5
diag_amortisseur_arriere_fatigue|Amortisseur detruit (Pompage a mort sans relache)|Le gaz et son huile se melangent (emulsion) due a 30.000km de travail intensif, on perds le freinage hydraulique strict du rebond.|Oubliez le modele base des usines, montez un Ohlins, Shock Factory ou EMC re-prepare, la moto devient un nouveau chef d'oeuvre!|600
diag_roulement_direction_hs_ou_desserre|Colonne : roulements coniques marques/billes hs|La douille crantee est lachee OU des creux (points durs) ont ete faits vers l'axe central suite a une conduite barbare des trottoirs.|Dessserrement ecrou plat supeieur de T, verif points durs centrele ; refection des galets/billes.|210
diag_roulement_roue_grogne|Roulement Axe roue use|La garniture etanche et la bague sont endommagées (karcher intempestif ou bourrinage dans l'axe roue arriere en changeant la chaine).|Extracteur inertiel pour arracher le rouleau mort (SKF imperatif au retour). Prends une bonne heure et graisse lithium pure.|85
diag_kit_chaine_hs|Kit chaine rincé, ovalise, points dures partout|Une tension aleatoire sur béquile et un bruit de claque "schlak" regulier = une couronne et le pgnion ont des dents dures pointues|Demontage bras oscillant occasionel et sciage la chaine au dremel. Poser un Kit DID ZVM-X ouere 525 sertis a chaud par rive clou.|190

# PANNES SPECIFIQUES ET MALADIES YAMAHA
diag_cct_cp2|Maladie CCT MT-07 Tendeur chaine distrib (CP2)|Probleme chronique CP2/CP3 sur 1ere generations ou il tic-tic un chouille. Sans grand danger a court terme si pas extremement fort.|Yamaha a propose des pieces evoluees rev2 de rechange plus resistantes en rattrapage ou un mecano installe un Tendeur mecanique manuel en fer forgé dur!!|200
diag_amortisseur_arriere_mt07|Amorto MT-07 - l'originel chewing-gum|La premiere deces de mt-07 2014-2017 subissait la raillerie avec un monoshock d'usine aux capacitees de lit trampoline dangereux.|Obligatoire pour rouler en confiance (Shock factory, YSS M45, HyperPro). Metamorphose completement l'avion CP2.|550
diag_bulle_vibration_tracer700|Bulle de Tracer 7 - Le bourdonnement fou|La molette manuelle recule peu apres un an causant du batement a 4000 rpm des pieces de plexiglas dur au vent affleurent des plastocs bas de gamme.|Resserrage total a la main + intercaler de petits tampons caouchtoux adhesif des deux pans face a face plexiglass vs plastique ABS interieur.|15
diag_rayons_oxydes_t7|Maladie Ténéré 700 - L'oxydation ecaille|Problematurgique legendes des premiers Tênêrē, les têtes de rayons avants deviennent corrodées apres une simple pluie normande. Defaut d'un revetement des rayons japonais.|Toutes reconnues sous l'immuable garantie du concessionaire si moto couverte. Echgt de l'intieir jante complete a leur charge!!|0
diag_cct_cp3_847|Maladie CCT MT-09 2014/15/16 Tendeur CP3|Identique diagnostic du petit frere avec en plus une vibration dans la course des carter. Changement reference YAMAHA officiel pris souvent au serieux en atelier de base.|Tendeur manuel APE pro USA coute environ 90e + M_O. La derniere piece d'origine coute autant et requere l'acces total.|150
diag_ressort_selecteur_cp3|Maladie MT-09/Tracer Selecteur au point|Ressort de rappel axe interieure du selecteur de passage de boite de vitesse CP3 qui casse net de chez net, tout le repose pied tombe vers la route. T'es coincé.|Demontage complet du grand carter carter d'embrayage derriere, et changer pour DEUX euros le ressort tordu... Le malus : L'huile doit tomber, joint carter neuf|200
diag_ecu_bug_890_retrogradage|Maladie Calage Euro 5 CP3 890 (2021)|Defaut d'ECU et cartographie d'essence extrement pauvre a la relache ou le QS+ coupe net la moto entre la 3e et 2e ! Hyper dangereux au retrograd.|Passage express concession Yamaha pour un Flash ODB et telecharger des maps injecteurs de 2022 ou l'O2 lambda est remaniée pour evite coupures intempestives.|110
diag_aerodynamisme_tracer900_bagagerie|L'art de l'avion mal reglé en Tracer 900 bagagé|Légereté morbide de l'avant avec prise aerodynamique d'un top-case 50L (Turbulences aero). C'est prevu dans de guide d'utilisation sous limite strict a 130 km/h.|Ne jamais relacher la barre, retirer les sacs en soute si solo conduite agressive, precharger au maxi strict la suspension arriere. Ralentir imperatif.|0
diag_rotor_alternateur_decolle_5vy|Désastre R1 CP4 5VY 2004 - Rotor d'Alternateur|Aimants de l'alternateut arraches du gros stator. Le rotor vole literalement au contact du tour complet et tout desintegre dans l'huile = BRUIT TRES GRAVE CARTER.|Eteignez immeditement sinon les eclats ferreux rentrent profonds a la crepine l'huild. Remplacement Rotor / stators ensemble + nettoyage de carters total!|1100
diag_demarreur_chaud_cp4|Démarrage a cru R1 CP4 Crossplane (14B/2009)|Cote typique et genetiqe a cause des tolerances trop serrees ! La chaleur engoufree rend les bobinages completements epuisé de la batterie.|Gros kit refectiob de charbon / bague demarreur (voire un demarreur up-to-date ref amelioree). Le probleme est mondial a la R1.|350
diag_capteur_abs_imu_cp4|Cablage Capteur de Vitesse roue AR & IMU|Sur certains modeles performant, l'un des capteur arriere fonct dans la crasse ou fil croqué ou sectionne au frottement entrainant sapin de noyelle TCS/ABS|Retracer de bout a la sortie boite et changer filerie. Controler que la piste metal codee (rotor tôle) n'est pas tordue!!|90
